Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
45724815,03/01/2020 12:03:38 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11218,10 WESTMINSTER ROAD,WESTMINSTER ROAD,CATON AVENUE,CHURCH AVENUE,CATON AVENUE,CHURCH AVENUE,,BROOKLYN,WESTMINSTER ROAD,,In Progress,,,,14 BROOKLYN,3050720006,BROOKLYN,992930,175659,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.64881578123712,-73.96872001104772,"(40.64881578123712, -73.96872001104772)"
45722530,03/01/2020 12:03:43 AM,,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10009,520 EAST   20 STREET,EAST   20 STREET,20 STREET LOOP,20 STREET LOOP,20 STREET LOOP,20 STREET LOOP,,NEW YORK,EAST   20 STREET,,In Progress,,,,06 MANHATTAN,1009720001,MANHATTAN,990646,206558,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.73362834396032,-73.9769214914455,"(40.73362834396032, -73.9769214914455)"
45722604,03/01/2020 12:03:53 AM,03/01/2020 01:55:49 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,10457,1530 SHERIDAN AVENUE,SHERIDAN AVENUE,EAST  172 STREET,MT EDEN PARKWAY,EAST  172 STREET,MT EDEN PARKWAY,,BRONX,SHERIDAN AVENUE,,Closed,,The Police Department responded to the complaint but officers were unable to gain entry into the pre,03/01/2020 06:55:51 AM,04 BRONX,2028190012,BRONX,1008838,245870,PHONE,Unspecified,BRONX,,,,,,,,40.84149732499304,-73.91113593339,"(40.84149732499304, -73.91113593339)"
45726332,03/01/2020 12:04:39 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11226,333 MARTENSE STREET,MARTENSE STREET,FAIRVIEW PLACE,RALEIGH PLACE,FAIRVIEW PLACE,RALEIGH PLACE,,BROOKLYN,MARTENSE STREET,,In Progress,,,,17 BROOKLYN,3048680034,BROOKLYN,998677,176746,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.65179186206661,-73.94800731013225,"(40.65179186206661, -73.94800731013225)"
45722588,03/01/2020 12:05:16 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11213,1776 UNION STREET,UNION STREET,UTICA AVENUE,ROCHESTER AVENUE,UTICA AVENUE,ROCHESTER AVENUE,,BROOKLYN,UNION STREET,,In Progress,,,,09 BROOKLYN,3014030040,BROOKLYN,1003904,182546,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.66770152165978,-73.92915310753094,"(40.66770152165978, -73.92915310753094)"
45726344,03/01/2020 12:05:17 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,11237,1525 DEKALB AVENUE,DEKALB AVENUE,KNICKERBOCKER AVENUE,IRVING AVENUE,KNICKERBOCKER AVENUE,IRVING AVENUE,,BROOKLYN,DEKALB AVENUE,,In Progress,,,,04 BROOKLYN,3032360041,BROOKLYN,1006048,195093,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70213513674839,-73.92138403070295,"(40.70213513674839, -73.92138403070295)"
45723170,03/01/2020 12:05:18 AM,,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11432,88-24 180 STREET,180 STREET,HILLSIDE AVENUE,90 AVENUE,HILLSIDE AVENUE,90 AVENUE,,JAMAICA,180 STREET,,In Progress,,,,12 QUEENS,4099150047,QUEENS,1044550,198978,PHONE,Unspecified,QUEENS,,,,,,,,40.712619905734286,-73.782489546431,"(40.712619905734286, -73.782489546431)"
45722529,03/01/2020 12:05:21 AM,,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11365,72-04 160 STREET,160 STREET,72 AVENUE,73 AVENUE,72 AVENUE,73 AVENUE,,FRESH MEADOWS,160 STREET,,In Progress,,,,08 QUEENS,4068210054,QUEENS,1037204,204546,MOBILE,Unspecified,QUEENS,,,,,,,,40.72794970409676,-73.80894369037782,"(40.72794970409676, -73.80894369037782)"
45726325,03/01/2020 12:05:39 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10001,309 WEST   29 STREET,WEST   29 STREET,8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,,NEW YORK,WEST   29 STREET,,In Progress,,,,04 MANHATTAN,1007530031,MANHATTAN,985266,212269,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.74930587115211,-73.99633313281797,"(40.74930587115211, -73.99633313281797)"
45723288,03/01/2020 12:06:26 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10457,2186 GRAND CONCOURSE,GRAND CONCOURSE,ANTHONY AVENUE,EAST  182 STREET,ANTHONY AVENUE,EAST  182 STREET,,BRONX,GRAND CONCOURSE,,In Progress,,,,05 BRONX,2031570020,BRONX,1011588,250961,MOBILE,Unspecified,BRONX,,,,,,,,40.85546252316601,-73.9011763444306,"(40.85546252316601, -73.9011763444306)"
45724776,03/01/2020 12:06:34 AM,,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10032,2145 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST  166 STREET,WEST  167 STREET,WEST  166 STREET,WEST  167 STREET,,NEW YORK,AMSTERDAM AVENUE,,In Progress,,,,12 MANHATTAN,1021110083,MANHATTAN,1001495,244885,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.8388111804014,-73.93767696356736,"(40.8388111804014, -73.93767696356736)"
45726913,03/01/2020 12:07:15 AM,,DOT,Department of Transportation,Street Condition,Pothole,,11233,,,,,ATLANTIC AVENUE,BUFFALO AVENUE,INTERSECTION,BROOKLYN,,,Open,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,03/01/2020 12:07:15 AM,03 BROOKLYN,,BROOKLYN,1005113,185972,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.67710235340036,-73.92478441589255,"(40.67710235340036, -73.92478441589255)"
45722612,03/01/2020 12:07:37 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,10032,559 WEST  164 STREET,WEST  164 STREET,ST NICHOLAS AVENUE,BROADWAY,ST NICHOLAS AVENUE,BROADWAY,,NEW YORK,WEST  164 STREET,,In Progress,,,,12 MANHATTAN,1021220100,MANHATTAN,1000658,244596,PHONE,Unspecified,MANHATTAN,,,,,,,,40.838019554325456,-73.9407025685327,"(40.838019554325456, -73.9407025685327)"
45726368,03/01/2020 12:07:59 AM,,DOT,Department of Transportation,Street Condition,Plate Condition - Noisy,Street,11201,174 FLATBUSH AVENUE EXTENSION,FLATBUSH AVENUE EXTENSION,JOHNSON STREET,GOLD STREET,JOHNSON STREET,GOLD STREET,,BROOKLYN,FLATBUSH AVENUE EXTENSION,,In Progress,,,,02 BROOKLYN,,BROOKLYN,988753,192301,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.694497449949935,-73.9837614867763,"(40.694497449949935, -73.9837614867763)"
45725178,03/01/2020 12:08:31 AM,03/01/2020 12:20:30 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10003,129 EAST    4 STREET,EAST    4 STREET,2 AVENUE,1 AVENUE,2 AVENUE,1 AVENUE,,NEW YORK,EAST    4 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evid,03/01/2020 05:20:31 AM,03 MANHATTAN,1004460037,MANHATTAN,987722,203552,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72537923992092,-73.98747362999467,"(40.72537923992092, -73.98747362999467)"
45725709,03/01/2020 12:08:57 AM,03/01/2020 01:42:40 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11223,1950 WEST    9 STREET,WEST    9 STREET,AVENUE S,AVENUE T,AVENUE S,AVENUE T,,BROOKLYN,WEST    9 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evid,03/01/2020 06:42:46 AM,11 BROOKLYN,3070790026,BROOKLYN,989521,157736,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.599623586751015,-73.9810189693951,"(40.599623586751015, -73.9810189693951)"
45725910,03/01/2020 12:09:05 AM,03/01/2020 01:34:28 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11201,53 WATER STREET,WATER STREET,DOCK STREET,MAIN STREET,DOCK STREET,MAIN STREET,,BROOKLYN,WATER STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary,03/01/2020 06:34:29 AM,02 BROOKLYN,3000260050,BROOKLYN,986440,195508,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.70330079139552,-73.99210147901977,"(40.70330079139552, -73.99210147901977)"
45724828,03/01/2020 12:09:16 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11385,1880 DEKALB AVENUE,DEKALB AVENUE,ONDERDONK AVENUE,WOODWARD AVENUE,ONDERDONK AVENUE,WOODWARD AVENUE,,RIDGEWOOD,DEKALB AVENUE,,In Progress,,,,05 QUEENS,4034000027,QUEENS,1008023,197660,ONLINE,Unspecified,QUEENS,,,,,,,,40.70917585787882,-73.91425200064688,"(40.70917585787882, -73.91425200064688)"
45727107,03/01/2020 12:09:36 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10454,300 EAST  138 STREET,EAST  138 STREET,LINCOLN AVENUE,ALEXANDER AVENUE,LINCOLN AVENUE,ALEXANDER AVENUE,,BRONX,EAST  138 STREET,,In Progress,,,,01 BRONX,2023110001,BRONX,1004634,234606,MOBILE,Unspecified,BRONX,,,,,,,,40.81059156789263,-73.92636392158543,"(40.81059156789263, -73.92636392158543)"
45725843,03/01/2020 12:09:38 AM,03/01/2020 01:55:04 AM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10458,382 EAST  199 STREET,EAST  199 STREET,DECATUR AVENUE,WEBSTER AVENUE,DECATUR AVENUE,WEBSTER AVENUE,,BRONX,EAST  199 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evid,03/01/2020 06:55:06 AM,07 BRONX,2032790031,BRONX,1016084,255300,ONLINE,Unspecified,BRONX,,,,,,,,40.86735669375272,-73.88490324148628,"(40.86735669375272, -73.88490324148628)"
45723460,03/01/2020 12:10:01 AM,03/01/2020 01:50:57 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10011,251 WEST   19 STREET,WEST   19 STREET,7 AVENUE,8 AVENUE,7 AVENUE,8 AVENUE,,NEW YORK,WEST   19 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,03/01/2020 06:51:01 AM,04 MANHATTAN,1007697505,MANHATTAN,984500,209736,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.742353475975584,-73.99909781384376,"(40.742353475975584, -73.99909781384376)"
45721823,03/01/2020 12:10:31 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11217,371 STATE STREET,STATE STREET,BOND STREET,NEVINS STREET,BOND STREET,NEVINS STREET,,BROOKLYN,STATE STREET,,In Progress,,,,02 BROOKLYN,3001720066,BROOKLYN,988714,189709,PHONE,Unspecified,BROOKLYN,,,,,,,,40.68738302732871,-73.98390384435115,"(40.68738302732871, -73.98390384435115)"
45721827,03/01/2020 12:10:33 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11419,133-19 107 AVENUE,107 AVENUE,133 STREET,134 STREET,133 STREET,134 STREET,,SOUTH RICHMOND HILL,107 AVENUE,,In Progress,,Your complaint has been received by the Police Department and additional information will be availab,03/01/2020 06:55:06 AM,10 QUEENS,4095930036,QUEENS,1036541,189897,MOBILE,Unspecified,QUEENS,,,,,,,,40.68774570125775,-73.81144952997921,"(40.68774570125775, -73.81144952997921)"
45724814,03/01/2020 12:10:39 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11101,11-58 49 AVENUE,49 AVENUE,11 PLACE,21 STREET,11 PLACE,21 STREET,,LONG ISLAND CITY,49 AVENUE,,In Progress,,,,02 QUEENS,4000620028,QUEENS,998027,209871,ONLINE,Unspecified,QUEENS,,,,,,,,40.74271328958848,-73.95028205412777,"(40.74271328958848, -73.95028205412777)"
45724848,03/01/2020 12:10:57 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,11219,1433 45 STREET,45 STREET,14 AVENUE,15 AVENUE,14 AVENUE,15 AVENUE,,BROOKLYN,45 STREET,,In Progress,,Your complaint has been received by the Police Department and additional information will be availab,03/01/2020 05:13:25 AM,12 BROOKLYN,3056120066,BROOKLYN,987930,170785,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6354411869925,-73.98674109598072,"(40.6354411869925, -73.98674109598072)"
45726510,03/01/2020 12:11:33 AM,03/01/2020 12:14:26 AM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10023,40 WEST   60 STREET,WEST   60 STREET,BROADWAY,COLUMBUS AVENUE,BROADWAY,COLUMBUS AVENUE,,NEW YORK,WEST   60 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evid,03/01/2020 05:14:28 AM,04 MANHATTAN,1010490001,MANHATTAN,988926,219566,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.76933308949664,-73.98311867396744,"(40.76933308949664, -73.98311867396744)"
45726351,03/01/2020 12:12:08 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Television,Residential Building/House,10475,140 ALCOTT PLACE,ALCOTT PLACE,ASCH LOOP,DEAD END,ASCH LOOP,DEAD END,,BRONX,ALCOTT PLACE,,In Progress,,,,10 BRONX,2051410120,BRONX,1031206,257019,PHONE,Unspecified,BRONX,,,,,,,,40.8720073270154,-73.8302172766573,"(40.8720073270154, -73.8302172766573)"
45724827,03/01/2020 12:12:22 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11385,1880 STOCKHOLM STREET,STOCKHOLM STREET,ONDERDONK AVENUE,WOODWARD AVENUE,ONDERDONK AVENUE,WOODWARD AVENUE,,RIDGEWOOD,STOCKHOLM STREET,,In Progress,,,,05 QUEENS,4034010026,QUEENS,1008229,197501,ONLINE,Unspecified,QUEENS,,,,,,,,40.70873888486935,-73.91350953588562,"(40.70873888486935, -73.91350953588562)"
45721838,03/01/2020 12:12:33 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11209,9305 3 AVENUE,3 AVENUE,93 STREET,94 STREET,93 STREET,94 STREET,,BROOKLYN,3 AVENUE,,In Progress,,,,10 BROOKLYN,3061070011,BROOKLYN,975071,164627,PHONE,Unspecified,BROOKLYN,,,,,,,,40.61853478103204,-74.03306322209475,"(40.61853478103204, -74.03306322209475)"
45722568,03/01/2020 12:12:46 AM,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10467,831 BARTHOLDI STREET,BARTHOLDI STREET,BARNES AVENUE,BRONXWOOD AVENUE,BARNES AVENUE,BRONXWOOD AVENUE,,BRONX,BARTHOLDI STREET,,In Progress,,,,12 BRONX,2046330001,BRONX,1022335,257653,MOBILE,Unspecified,BRONX,,,,,,,,40.873790194513674,-73.86228922795281,"(40.873790194513674, -73.86228922795281)"
45724005,03/01/2020 12:13:05 AM,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,,10023,40 WEST   60 STREET,WEST   60 STREET,BROADWAY,COLUMBUS AVENUE,BROADWAY,COLUMBUS AVENUE,,NEW YORK,WEST   60 STREET,,In Progress,,,,04 MANHATTAN,1010490001,MANHATTAN,988926,219566,ONLINE,Unspecified,MANHATTAN,,,"40 WEST   60 STREET, MANHATTAN (NEW YORK), NY, 10023",,,,,40.76933308949664,-73.98311867396744,"(40.76933308949664, -73.98311867396744)"
45725443,03/01/2020 12:13:19 AM,,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11385,1812 WOODBINE STREET,WOODBINE STREET,SENECA AVENUE,ONDERDONK AVENUE,SENECA AVENUE,ONDERDONK AVENUE,,RIDGEWOOD,WOODBINE STREET,,In Progress,,,,05 QUEENS,4034590014,QUEENS,1010134,195286,PHONE,Unspecified,QUEENS,,,,,,,,40.70265386759491,-73.90664686232067,"(40.70265386759491, -73.90664686232067)"
45724024,03/01/2020 12:13:22 AM,,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11103,30-46 47 STREET,47 STREET,30 ROAD,31 AVENUE,30 ROAD,31 AVENUE,,ASTORIA,47 STREET,,In Progress,,,,01 QUEENS,4007280071,QUEENS,1009068,216182,ONLINE,Unspecified,QUEENS,,,,,,,,40.76001128729536,-73.91041441713259,"(40.76001128729536, -73.91041441713259)"
45723946,03/01/2020 12:13:41 AM,,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11413,144-19 181 PLACE,181 PLACE,144 AVENUE,DEAD END,144 AVENUE,DEAD END,,SPRINGFIELD GARDENS,181 PLACE,,In Progress,,,,12 QUEENS,4130920004,QUEENS,1050106,182607,PHONE,Unspecified,QUEENS,,,,,,,,40.667645835027024,-73.76260841266223,"(40.667645835027024, -73.76260841266223)"
45723284,03/01/2020 12:13:41 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10033,575 WEST  175 STREET,WEST  175 STREET,AUDUBON AVENUE,ST NICHOLAS AVENUE,AUDUBON AVENUE,ST NICHOLAS AVENUE,,NEW YORK,WEST  175 STREET,,In Progress,,,,12 MANHATTAN,1021330001,MANHATTAN,1001966,247208,PHONE,Unspecified,MANHATTAN,,,,,,,,40.845186202865115,-73.93596864418699,"(40.845186202865115, -73.93596864418699)"
45727036,03/01/2020 12:13:52 AM,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Dog,1-2 Family Dwelling,11379,69-12 ELIOT AVENUE,ELIOT AVENUE,69 STREET,69 PLACE,69 STREET,69 PLACE,,MIDDLE VILLAGE,ELIOT AVENUE,,In Progress,,,,05 QUEENS,4029220015,QUEENS,1014563,201498,ONLINE,Unspecified,QUEENS,,,,,,,,40.719690254188535,-73.89064529392017,"(40.719690254188535, -73.89064529392017)"
45722142,03/01/2020 12:14:45 AM,03/01/2020 12:29:35 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11201,160 NAVY WALK,NAVY WALK,HUDSON WALK,BEND,HUDSON WALK,BEND,,BROOKLYN,NAVY WALK,,Closed,,The Police Department responded to the complaint and with the information available observed no evid,03/01/2020 05:29:37 AM,02 BROOKLYN,3020500001,BROOKLYN,989738,192108,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6939671536727,-73.98020958205214,"(40.6939671536727, -73.98020958205214)"
45726357,03/01/2020 12:14:48 AM,,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10026,215 WEST  116 STREET,WEST  116 STREET,ST NICHOLAS AVENUE,FREDERICK DOUGLASS BOULEVARD,ST NICHOLAS AVENUE,FREDERICK DOUGLASS BOULEVARD,,NEW YORK,WEST  116 STREET,,In Progress,,,,10 MANHATTAN,1019220020,MANHATTAN,997130,232065,PHONE,Unspecified,MANHATTAN,,,,,,,,40.80363135253337,-73.95347657725151,"(40.80363135253337, -73.95347657725151)"
45724681,03/01/2020 12:15:28 AM,,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11207,38 CROSBY AVENUE,CROSBY AVENUE,MILLER PLACE,BULWER PLACE,MILLER PLACE,BULWER PLACE,,BROOKLYN,CROSBY AVENUE,,In Progress,,,,05 BROOKLYN,3038850199,BROOKLYN,1013524,187915,PHONE,Unspecified,BROOKLYN,,,,,,,,40.682411625049106,-73.89445254392386,"(40.682411625049106, -73.89445254392386)"
45721808,03/01/2020 12:15:28 AM,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11209,7040 COLONIAL ROAD,COLONIAL ROAD,MACKAY PLACE,71 STREET,MACKAY PLACE,71 STREET,,BROOKLYN,COLONIAL ROAD,,In Progress,,,,10 BROOKLYN,3058840037,BROOKLYN,975397,170934,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.6358465005666,-74.03189722618694,"(40.6358465005666, -74.03189722618694)"
45725536,03/01/2020 12:15:30 AM,,TLC,Taxi and Limousine Commission,Lost Property,Other,,10065,EAST   63 STREET,EAST   63 STREET,EAST   63 STREET,PARK AVENUE,EAST   63 STREET,PARK AVENUE,,,,,In Progress,,,,08 MANHATTAN,,MANHATTAN,993121,218139,PHONE,Unspecified,MANHATTAN,,,"EAST   63 STREET AND PARK AVENUE, MANHATTAN, NY, 10065",,,,,40.76541313045065,-73.96797574174623,"(40.76541313045065, -73.96797574174623)"
45726185,03/01/2020 12:15:31 AM,,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10461,1535 GILLESPIE AVENUE,GILLESPIE AVENUE,ZULETTE AVENUE,MIDDLETOWN ROAD,ZULETTE AVENUE,MIDDLETOWN ROAD,,BRONX,GILLESPIE AVENUE,,In Progress,,,,10 BRONX,2053950012,BRONX,1030995,246370,PHONE,Unspecified,BRONX,,,,,,,,40.84278018527301,-73.83105446711495,"(40.84278018527301, -73.83105446711495)"
